Date,Account,Description,Credit,Debit
12/06/2018,12345678,Rent - Transfer to MAGAIN REAL ESTATE - Receipt 874520 To 035053 354101,,-680
12/06/2018,29700000,Internal Transfer - Receipt 844312 - From Orange Everyday  ,400,
9/06/2018,99998888,OPTUS PREPAID MELBOURN - Visa Purchase - Receipt 109410In MELBOURNE Date 06 Jun 2018 Card ,,-30
9/06/2018,12345678,COLES 0419 - Visa Purchase - Receipt 131441In PARK HOLME Date 08 Jun 2018 Card ,,-6.2
8/06/2018,99998888,PAYPAL *FAIRGEAR - Visa Purchase - Receipt 199729In Date 06 Jun 2018 Card ,,-10.8
8/06/2018,99998888,J Weekly Addition - Internal Transfer - Receipt 599632 Orange Everyday ,,-290
8/06/2018,99998888,Internal Transfer - Internal Transfer - Receipt 570825 Savings Maximiser ,200,
8/06/2018,12345678,J Weekly Addition - Internal Transfer - Receipt 599632 Orange Everyday ,290,
8/06/2018,29700000,Internal Transfer - Receipt 570825 - To Orange Everyday  ,,-200
7/06/2018,12345678,Rite Price Grocery - - Visa Purchase - Receipt 186167In Clovelly Par Date 06 Jun 2018 Card ,,-20.42
7/06/2018,12345678,LAU PEKING ASIAN GROCE - Visa Purchase - Receipt 186166In OAKLANDS PAR Date 05 Jun 2018 Card ,,-18.45
7/06/2018,12345678,BUNNINGS 412000 - Visa Purchase - Receipt 186165In MARION Date 05 Jun 2018 Card ,,-21.9
6/06/2018,12345678,ORIGIN GAS - Direct Debit - Receipt 117923 ,,-146.34
6/06/2018,12345678,WOOLWORTHS 5639 - Visa Purchase - Receipt 181577In OAKLANDS PAR Date 05 Jun 2018 Card ,,-52.97
31/05/2018,99998888,J Weekly Addition - Internal Transfer - Receipt 717370 Orange Everyday ,,-290
31/05/2018,12345678,J Weekly Addition - Internal Transfer - Receipt 717370 Orange Everyday ,290,
31/05/2018,12345678,PIZZA HUT MARION - Visa Purchase - Receipt 119215In OAKLANDS PAR Date 29 May 2018 Card ,,-61.7
31/05/2018,12345678,COLES 0419 - Visa Purchase - Receipt 119214In PARK HOLME Date 30 May 2018 Card,,-14.37
31/05/2018,29700000,Bonus Interest Credit - Receipt 927774,7.02,
31/05/2018,29700000,Interest Credit,4.89,
29/05/2018,12345678,SUBWAY RENMARK - Visa Purchase - Receipt 189137In RENMARK Date 27 May 2018 Card ,,-30.75
29/05/2018,12345678,Rent - Transfer to MAGAIN REAL ESTATE - Receipt 4059 To 035053 354101,,-680
27/05/2018,99998888,SUBWAY RENMARK - Visa Purchase - Receipt 153439In RENMARK Date 25 May 2018 Card ,,-10.95
27/05/2018,12345678,QBD THE BOOKSHOP - Visa Purchase - Receipt 195550In OAKLANDS PAR Date 25 May 2018 Card ,,-36.98
25/05/2018,12345678,BP AMPM EDWARDSTOWN 9135 - Visa Purchase - Receipt 154313In EDWARDSTOWN Date 23 May 2018 Card ,,-40.46
